Source,"Product 
Type",TableName,Source System FIeld Name,IMPACTED FIELD FOR RULE CODE (for DQ team reference),New_Rule_Code_Format,Data Field,Rule Description,Logic,main_table,main_column,sub_table,sub_column,dependency_table,dependency_column,rule_logic_desc
CLS,_,CFCOLE,"CFCOLE.CCSDT6
CFCOLE.CCDCOD
CFCOLE.CCSLDC","Collateral Sale Date
Collateral Sale Price 
Collateral type",Coll_Sale_Dt_1_CLS,Collateral Sale Date,Coll Sale Dt <> null/blank if Coll Sale Price has value for Prop Coll type,,CFCOLE,CFCOLE.CCSDT6,CFCOLE,"CFCOLE.CCDCOD,CFCOLE.CCSLDC",,,Cannot be blank if column 1 or column 2 has value with Collateral Type
TCS,Loan,MIS022,"MIS022.MI022_GTEM_COL_SOLD_DT
MIS022.MI022_SALE_VALUE
MIS022.MI022_COLM_TYPE","Collateral Sale Date
Collateral Sale Price 
Collateral type",Coll_Sale_Dt_1_TCS,Collateral Sale Date,Coll Sale Dt must be in valid Dt format & <> null/blank if Coll Sale Price has value,,MIS022,MIS022.MI022_GTEM_COL_SOLD_DT,MIS022,"MIS022.MI022_SALE_VALUE,MIS022.MI022_COLM_TYPE",,,Cannot be blank if column 1 or column 2 has value with Collateral Type
CLS,_,CFCOLE,"CFCOLE.CCSDT6
CFCOLE.CCDCOD
CFCOLE.CCSLDC","Collateral Sale Date
Collateral Sale Price 
Collateral type",Coll_Sale_Dt_2_CLS,Collateral Sale Date,Coll Sale Dt _ Must be a valid Dt for Prop (YYYYMMDD),,CFCOLE,CFCOLE.CCSDT6,CFCOLE,"CFCOLE.CCDCOD,CFCOLE.CCSLDC",,,Must be in valid date format
TCS,Loan,MIS022,"MIS022.MI022_GTEM_COL_SOLD_DT
MIS022.MI022_SALE_VALUE
MIS022.MI022_COLM_TYPE","Collateral Sale Date
Collateral Sale Price 
Collateral type",Coll_Sale_Dt_2_TCS,Collateral Sale Date,Coll Sale Dt _ Must be in valid Dt format (YYYYMMDD),,MIS022,MIS022.MI022_GTEM_COL_SOLD_DT,MIS022,"MIS022.MI022_SALE_VALUE,MIS022.MI022_COLM_TYPE",,,Must be in valid date format
CLS,_,CFCOLD,CFCOLD.CCLCD6,Collateral Start Date ,Coll_Start_Dt_1_CLS,Collateral Start Date,Coll Start Dt cannot greater/latest than Current Dt,,CFCOLD,CFCOLD.CCLCD6,,,,,"Date cannot be future date from current date, some with Entity Type"
TCS,Loan,MIS022,MIS022.MI022_COLM_START_DATE,Collateral Start Date ,Coll_Start_Dt_1_TCS,Collateral Start Date,Coll Start Dt cannot greater/latest than Curr Dt & must be in valid Dt format,,MIS022,MIS022.MI022_COLM_START_DATE,,,,,"Date cannot be future date from current date, some with Entity Type"
CLS,_,CFCOLD,CFCOLD.CCLCD6,Collateral Start Date ,Coll_Start_Dt_2_CLS,Collateral Start Date,Coll Start Dt _ Must be a valid Dt (YYYYMMDD),,CFCOLD,CFCOLD.CCLCD6,,,,,Must be in valid date format
TCS,Loan,MIS022,MIS022.MI022_COLM_START_DATE,Collateral Start Date ,Coll_Start_Dt_2_TCS,Collateral Start Date,Coll Start Dt _ Must be a valid Dt (YYYYMMDD),,MIS022,MIS022.MI022_COLM_START_DATE,,,,,Must be in valid date format
CLS,_,CFCOLD,"CFCOLD.CCLCD6
CFCOLD.CCDCOD",Collateral Start Date ,Coll_Start_Dt_3_CLS,Collateral Start Date,Coll Start Dt _ Should not be blank for all Coll type,,CFCOLD,CFCOLD.CCLCD6,CFCOLD,CFCOLD.CCDCOD,,,Cannot be blank
TCS,Loan,MIS022,"MIS022.MI022_COLM_START_DATE
MI022_COLM_TYPE",Collateral Start Date ,Coll_Start_Dt_3_TCS,Collateral Start Date,Coll Start Dt _ Should not be blank for all Coll type & must be in valid Dt format,,MIS022,MIS022.MI022_COLM_START_DATE,MIS022,MI022_COLM_TYPE,,,Cannot be blank
CLS,_,CFCOLD,CFCOLD.CCDSTS,Collateral Status,Coll_Sts_2_CLS,Collateral Status,Coll Sts _ Blank is not allowed.,,CFCOLD,CFCOLD.CCDSTS,,,,,Cannot be blank
TCS,Loan,MIS022,MIS022.MI022_COLM_STATUS,Collateral Status,Coll_Sts_2_TCS,Collateral Status,Coll Sts _ Blank is not allowed.,,MIS022,MIS022.MI022_COLM_STATUS,,,,,Cannot be blank
TCS,Loan,MIS022,"MIS022.MI022_CHPM_GOOD_STAT
MIS022.MI022_COLM_TYPE","Collateral Status Vehicle
Collateral type",Coll_Sts_Vehicle_1_TCS,Collateral Status Vehicle,Coll Sts should not be blank if Coll type is vehic,,MIS022,MIS022.MI022_CHPM_GOOD_STAT,MIS022,MIS022.MI022_COLM_TYPE,,,Cannot be blank with collateral type
TCS,Loan,MIS022,"MIS022.MI022_COLM_SUB_TYPE
MIS022.MI022_COLM_TYPE","Collateral Sub Type
Collateral type",Coll_Sub_Type_2_TCS,Collateral Sub Type,Value <> 'Blank' except others Coll type (11),,MIS022,MIS022.MI022_COLM_SUB_TYPE,MIS022,MIS022.MI022_COLM_TYPE,,,Cannot be blank with collateral type
TCS,Loan,MIS022,"MIS022.MI022_CPRO_COLL_TOWN
MIS022.MI022_COLM_TYPE","Collateral Town
Collateral type",Coll_Property_Town_1_TCS,Collateral Town,Coll Town _ M&atory for Prop Coll type,,MIS022,MIS022.MI022_CPRO_COLL_TOWN,CFCOLD,MIS022.MI022_COLM_TYPE,,,Mandatory with collateral type
CLS,_,CFCOLD,"CFCOLD.CCDCOD
CFCOLD.CCDCOD","Collateral Sub Type
Collateral type",Coll_Type_Cd_2_CLS,Collateral Type Code,Coll Type cd _ Blank is not allowed,,CFCOLD,CFCOLD.CCDCOD,,,,,Cannot be blank
TCS,Loan,MIS022,MIS022.MI022_COLM_TYPE,Collateral Type Code,Coll_Type_Cd_2_TCS,Collateral Type Code,Coll Type cd _ Blank is not allowed,,MIS022,MIS022.MI022_COLM_TYPE,,,,,Cannot be blank
CLS,_,LNBNMC,LNBNMC.BNCOUN,Country of Origin,Coll_Ctry_Ori_1_CLS,Country of Origin,ctry of Ori <> blank,,LNBNMC,LNBNMC.BNCOUN,,,,,Cannot be blank
TCS,Loan,MIS022,MIS022.MI022_GTEM_COUNTRY_CODE,Country of Origin,Coll_Ctry_Ori_1_TCS,Country of Origin,ctry of Ori <> blank,,MIS022,MIS022.MI022_GTEM_COUNTRY_CODE,,,,,Cannot be blank
CLS,_,CFCOLD,"CFCOLD.CCDCOD
CFCOLD.CCDCOD","Date Collateral Expiration 
Collateral type",Coll_Expiration_Dt_1_CLS,Date Collateral Expiration,Dt Coll Expiration _ M&atory for Coll type =s to deposit & letter of credit,,CFCOLD,CFCOLD.CCDCOD,,,,,Mandatory with collateral type
CLS,_,CFCOLD,"CFCOLD.CCEXP6
CFCOLD.CCDCOD
CFCOLD.CCLCD6","Date Collateral Expiration 
Collateral Start Date 
Collateral type",Coll_Expiration_Dt_2_CLS,Date Collateral Expiration,Dt Coll Expiration must be greater/latest than Coll Start Dt for Coll type =s to deposit & letter of credit.,,CFCOLD,"CFCOLD.CCEXP6,CFCOLD.CCDCOD,CFCOLD.CCLCD6",,,,,Date must be greater than another date with Collateral Type
CLS,_,CFCOLD,"CFCOLD.CCEXP6
CFCOLD.CCDCOD
CFCOLD.CCDSTS","Date Collateral Expiration 
Collateral status
Collateral type",Coll_Expiration_Dt_3_CLS,Date Collateral Expiration,"Dt Coll Expiration must be less than Curr Dt for Discharged Coll Sts. 
Applicable for Coll type =s to deposit, general, letter of credit, guarantee & transfer contract.",,CFCOLD,CFCOLD.CCEXP6,CFCOLD,"CFCOLD.CCDCOD,CFCOLD.CCDSTS",,,"Date cannot be future date from current date, some with Entity Type"
CLS,_,CFCOLD,"CFCOLD.CCEXP6
CFCOLD.CCDCOD","Date Collateral Expiration 
Collateral type",Coll_Expiration_Dt_4_CLS,Date Collateral Expiration,Dt Coll Expiration _ Must be a valid Dt for Coll type =s to deposit &letter of credit,,CFCOLD,CFCOLD.CCEXP6,CFCOLD,CFCOLD.CCDCOD,,,Valid date format with Collateral Type
TCS,Loan,MIS022,"MIS022.MI022_GTEM_EXPIRY_DATE
MIS022.MI022_COLM_TYPE","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Maturaty_Dt_1_TCS,Date Maturity of Guarantee,Field is mandatory if Coll type is guarantee.,,MIS022,MIS022.MI022_GTEM_EXPIRY_DATE,MIS022,MIS022.MI022_COLM_TYPE,,,Mandatory with collateral type
TCS,Loan,MIS022,MIS022.MI022_GTEM_EXPIRY_DATE,Date Maturity of Guarantee,Coll_Grntee_Maturaty_Dt_2_TCS,Date Maturity of Guarantee,Dt Maturity of Guarantee _ Must be a valid Dt,,MIS022,MIS022.MI022_GTEM_EXPIRY_DATE,,,,,Must be in valid date format
CLS,_,CFCOLD,"CFCOLD.CCEXP6
CFCOLD.CCDCOD","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Maturity_Dt_1_CLS,Date Maturity of Guarantee,"Dt Maturity of Guarantee _ M&atory for deposit, general, guarantee & transfer contract Coll type.",,CFCOLD,CFCOLD.CCEXP6,CFCOLD,CFCOLD.CCDCOD,,,
CLS,_,CFCOLD,"CFCOLD.CCEXP6
CFCOLD.CCDCOD","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Maturity_Dt_2_CLS,Date Maturity of Guarantee,"Dt Maturity of Guarantee _ Must be a valid Dt for deposit, general, guarantee & transfer contract Coll type.",,CFCOLD,CFCOLD.CCEXP6,CFCOLD,CFCOLD.CCDCOD,,,Valid date format with Collateral Type
CLS,_,CFMAST,CFMAST.CFBIR6,DOB,Coll_DOB_1_CLS,Date Of Birth,For IDV _ Dt Of Birth <> BLANK,,CFMAST,CFMAST.CFBIR6,,,,,Cannot be blank for IDV
TCS,Loan,MIS004,MIS004.MI004_BIRTH_DATE_1,DOB,Coll_DOB_1_TCS,Date Of Birth,Value <> BLANK & must be in valid Dt format in src stm,,MIS004,MIS004.MI004_BIRTH_DATE_1,,,,,Cannot be blank and must be valid date format for IDV
CLS,_,CFMAST,CFMAST.CFBIR6,DOB,Coll_DOB_2_CLS,Date Of Birth,Dt <> future Dt from current Dt,,CFMAST,CFMAST.CFBIR6,,,,,"Date cannot be future date from current date, some with Entity Type"
TCS,Loan,MIS004,MIS004.MI004_BIRTH_DATE_1,DOB,Coll_DOB_2_TCS,Date Of Birth,Dt <> future Dt & must be in valid Dt format,,MIS004,MIS004.MI004_BIRTH_DATE_1,,,,,Date cannot be future date and must be valid date format
CLS,_,CFCOLD,"CFCOLD.CCISS6
CFCOLD.CCDCOD","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Dt_1_CLS,Date of Guarantee,"Dt of Guarantee _ M&atory for letter of credit, guarantee & transfer contract Coll type.",,CFCOLD,CFCOLD.CCISS6,CFCOLD,CFCOLD.CCDCOD,,,Mandatory with collateral type
TCS,Loan,MIS022,"MIS022.MI022_GTEM_START_DATE
MIS022.MI022_COLM_TYPE","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Dt_1_TCS,Date of Guarantee,Dt of Guarantee _ M&atory if Coll type is guarantee,,MIS022,MIS022.MI022_GTEM_START_DATE,MIS022,MIS022.MI022_COLM_TYPE,,,Mandatory with collateral type
CLS,_,CFCOLD,"CFCOLD.CCISS6
CFCOLD.CCDCOD","Date Maturity of Guarantee 
Collateral type",Coll_Grntee_Dt_2_CLS,Date of Guarantee,"Dt of Guarantee _ Must be a valid Dt  for letter of credit, guarantee & transfer contract Coll type.",,CFCOLD,CFCOLD.CCISS6,CFCOLD,CFCOLD.CCDCOD,,,Valid date format with Collateral Type
TCS,Loan,MIS022,MIS022.MI022_GTEM_START_DATE,Date of Guarantee,Coll_Grntee_Dt_2_TCS,Date of Guarantee,Dt of Guarantee _ Must be a valid Dt (YYYYMMDD),,MIS022,MIS022.MI022_GTEM_START_DATE,,,,,Must be in valid date format
TCS,Loan,MIS006,MIS006.MI006_BLDVLL_CIV_COD_DAT,Colalteral Latest Date,Coll_Latest_Sts_Dt_1_TCS,Date of Latest Status,Dt must be between the min Dt maintained by the Bank (01/01/1900) & today's Dt,,MIS006,MIS006.MI006_BLDVLL_CIV_COD_DAT,,,,,Date must be minimum date maintained 01/01/1900
CLS,_,CFMAST,CFMAST.CFBIR6,DOR,Coll_DOR_1_CLS,Date Of Registration,For ORG _ Dt Of Registration <> BLANK,,CFMAST,CFMAST.CFBIR6,,,,,Cannot be blank for ORG
TCS,Loan,MIS004,MIS004.MI004_BIRTH_DATE_1,DOR,Coll_DOR_1_TCS,Date Of Registration,For ORG _ Dt Of Registration <> BLANK,,MIS004,MIS004.MI004_BIRTH_DATE_1,,,,,Cannot be blank for ORG
CLS,_,CFMAST,CFMAST.CFBIR6,DOR,Coll_DOR_2_CLS,Date Of Registration,Dt <> future Dt from current Dt,,CFMAST,CFMAST.CFBIR6,,,,,"Date cannot be future date from current date, some with Entity Type"
TCS,Loan,MIS004,MIS004.MI004_BIRTH_DATE_1,DOR,Coll_DOR_2_TCS,Date Of Registration,Dt <> future Dt from current Dt,,MIS004,MIS004.MI004_BIRTH_DATE_1,,,,,"Date cannot be future date from current date, some with Entity Type"
CLS,_,CFCOLD,"CFCOLD.CCPUR6
CFCOLD.CCDCOD
CFCOLD.CCPAMT","Date Sales Purchase 
Purchase Price value 
Collateral type",Coll_Sale_Purchase_Dt_1_CLS,Date Sales Purchase,"Dt Sales Purc _ M&atory if Purc Price value is > 0 for Prop, vehic & aircraft Coll type.",,CFCOLD,CFCOLD.CCPUR6,CFCOLD,"CFCOLD.CCDCOD,CFCOLD.CCPAMT",,,Mandatory when another column > value with collateral type
TCS,Loan,MIS022,"MIS022.MI022_PURCHASE_DT
MIS022.MI022_CSHR_TOTAL_VALUE",Date Sales Purchase,Coll_Sale_Purchase_Dt_1_TCS,Date Sales Purchase,Dt Sales Purc _ M&atory if Purc Price value is > 0,,MIS022,MIS022.MI022_PURCHASE_DT,MIS022,MIS022.MI022_CSHR_TOTAL_VALUE,,,Mandatory when another column > value with collateral type
CLS,_,CFCOLD,"CFCOLD.CCPUR6
CFCOLD.CCDCOD","Date Sales Purchase 
Collateral type",Coll_Sale_Purchase_Dt_2_CLS,Date Sales Purchase,"Must be a valid Dt for Prop, vehic & aircraft Coll type",,CFCOLD,CFCOLD.CCPUR6,CFCOLD,CFCOLD.CCDCOD,,,Valid date format with Collateral Type
TCS,Loan,MIS022,MIS022.MI022_PURCHASE_DT,Date Sales Purchase,Coll_Sale_Purchase_Dt_2_TCS,Date Sales Purchase,Dt Sales Purc _ Must be a valid Dt.,,MIS022,MIS022.MI022_PURCHASE_DT,,,,,Valid date format with Collateral Type
CLS,_,"CFCOLE
INBLPARKWF","CFCOLE.CCSDTE
INBLPARKWF.LKFTYP","Date Sold to Cagamas
Facility Type",Coll_Sold_Dt_1_CLS,Date Sold to Cagamas,Value <> '00000000' if the Fac Type <> '34320',,CFCOLE,CFCOLE.CCSDTE,INBLPARKWF,INBLPARKWF.LKFTYP,,,Date cannot be 00000000 when another column not equals value
TCS,Loan,"MIS022
MIS006","MIS022.MI022_GTEM_COL_SOLD_DT
MIS006.MI006_BOIS_CCRIS_FCLTY_TYP","Date Sold to Cagamas
Facility Type",Coll_Sold_Dt_1_TCS,Date Sold to Cagamas,Value <> '00000000' if the Fac Type <> '34320',,MIS022,MIS022.MI022_GTEM_COL_SOLD_DT,MIS006,MIS006.MI006_BOIS_CCRIS_FCLTY_TYP,,,Date cannot be 00000000 when another column not equals value
CLS,_,CFCOLD,"CFCOLD.CCOFF6
CFCOLD.CCVALC","Valuation Date
Valuer",Coll_Valuation_Dt_1_CLS,Date Valuation,Valuation Dt <> BLANK if Valuer have value,,CFCOLD,CFCOLD.CCOFF6,CFCOLD,CFCOLD.CCVALC,,,Cannot be blank if another column has value
CLS,_,CFCOLD,"CFCOLD.CCDVA6
CFCOLD.CCDCOD
CFCOLD.CCDCMV","Date Valuation 
Market Price
Collateral type",Coll_Valuation_Dt_2_CLS,Date Valuation,"Dt Valuation _ M&atory if Market Price > 0 for Prop, vehic & aircraft Coll type.",,CFCOLD,CFCOLD.CCDVA6,CFCOLD,"CFCOLD.CCDCOD,CFCOLD.CCDCMV",,,Mandatory when another column > value with collateral type
TCS,Loan,MIS022,"MIS022.MI022_VALUATION_DATE
MIS022.MI022_COLM_TYPE
MIS022.MI022_APPRAISAL_VALUE","Date Valuation 
Market Price
Collateral type",Coll_Valuation_Dt_2_TCS,Date Valuation,"Dt Valuation _ M&atory if Market Price > 0 for Prop, vehic, Fixed Deposit & fin Guarantees Coll type",,MIS022,MIS022.MI022_VALUATION_DATE,MIS022,"MIS022.MI022_COLM_TYPE,MIS022.MI022_APPRAISAL_VALUE",,,Mandatory when another column > value with collateral type
CLS,_,CFCOLD,"CFCOLD.CCDVA6
CFCOLD.CCDCOD","Date Valuation 
Collateral type",Coll_Valuation_Dt_3_CLS,Date Valuation,"Must be a valid Dt for Prop, vehic & aircraft Coll type",,CFCOLD,"CFCOLD.CCDVA6
",CFCOLD,CFCOLD.CCDCOD,,,Valid date format with Collateral Type
TCS,Loan,MIS022,MIS022.MI022_VALUATION_DATE,Date Valuation,Coll_Valuation_Dt_3_TCS,Date Valuation,Dt Valuation _ Must be a valid Dt (YYYYMMDD).,,MIS022,MIS022.MI022_VALUATION_DATE,,,,,Valid date format with Collateral Type
CLS,_,CFMAST,CFMAST.CFCOD2,Entity_Type,Coll_Entity_Type_1_CLS,Entity Type,Entity Type <> BLANK,,CFMAST,CFMAST.CFCOD2,,,,,Cannot be blank
TCS,Loan,MIS004,MIS004.MI004_CUSTOMER_TYPE,Entity_Type,Coll_Entity_Type_1_TCS,Entity Type,Entity Type <> BLANK,,MIS004,MIS004.MI004_CUSTOMER_TYPE,,,,,Cannot be blank
CLS,_,"INBLPARKWF
INL131WF","INBLPARKWF.LKFTYP
INL131WF.BNMPCD","Facility Type 
Purpose of Loan",Coll_Fac_Type_2_CLS,Facility Type,"If Fac Type= 34320 then PurposeofLoan <> 2110,2210,2310",,INBLPARKWF,INBLPARKWF.LKFTYP,INL131WF,"
BNMPCD",,,Not equals some values if another column = value
TCS,Loan,"TCS_JFALON
MIS006","TCS_JFALON.JFALON_N_LOAN_PURPOSE
MIS006.MI006_BOIS_CCRIS_FCLTY_TYP","Facility Type 
Purpose of Loan",Coll_Fac_Type_2_TCS,Facility Type,"If Fac Type= 34320 then PurposeofLoan <> 2110,2210,2310",,MIS006,MIS006.MI006_BOIS_CCRIS_FCLTY_TYP,TCS_JFALON,TCS_JFALON.JFALON_N_LOAN_PURPOSE,,,Not equals some values if another column = value
CLS,_,"INBLPARKWF
INL131WF","INBLPARKWF.LKFTYP
INL131WF.BNMPCD","Facility Type 
Purpose of Loan",Coll_Fac_Type_3_CLS,Facility Type,"If Facility Type = '34333' then PurposeofLoan <> '3110','3120','3300','3200','3900'",,INBLPARKWF,"INBLPARKWF.LKFTYP
",INL131WF,INL131WF.BNMPCD,,,Not equals some values if another column = value
TCS,Loan,"TCS_JFALON
MIS006","TCS_JFALON.JFALON_N_LOAN_PURPOSE
MIS006.MI006_BOIS_CCRIS_FCLTY_TYP","Facility Type 
Purpose of Loan",Coll_Fac_Type_3_TCS,Facility Type,"If Facility Type = '34333' then PurposeofLoan <> '3110','3120','3300','3200','3900'",,MIS006,MIS006.MI006_BOIS_CCRIS_FCLTY_TYP,TCS_JFALON,TCS_JFALON.JFALON_N_LOAN_PURPOSE,,,Not equals some values if another column = value
CLS,_,"INBLPARKWF
INL131WF","INBLPARKWF.LKFTYP
INL131WF.BNMPCD","Facility Type 
Purpose of Loan",Coll_Fac_Type_4_CLS,Facility Type,"If Fac Type = 34334 then PurposeofLoan <> '5200','5100'",,INBLPARKWF,INBLPARKWF.LKFTYP,INL131WF,INL131WF.BNMPCD,,,Not equals some values if another column = value
